# Shape: (7, 3, 3)
4.540360889999999650e+00 1.282199099999999925e+00 4.386162619999999998e-03
1.282199099999999925e+00 3.602792120000000153e+00 3.453121449999999905e-03
4.386162619999999998e-03 3.453121449999999905e-03 5.188020259999999613e-04
# New slice
1.801460700000000159e+01 1.924367020000000039e+00 3.882706489999999955e-02
1.924367020000000039e+00 1.732283809999999846e+01 -3.568906620000000113e-02
3.882706489999999955e-02 -3.568906620000000113e-02 1.913230889999999879e-02
# New slice
2.631075309999999945e+00 5.905241020000000507e-01 8.839187329999999634e-03
5.905241020000000507e-01 2.897747620000000079e+00 1.302757730000000079e-02
8.839187329999999634e-03 1.302757730000000079e-02 2.279507660000000026e-03
# New slice
5.248411349999999587e+00 6.730931759999999597e-01 3.111901959999999884e-02
6.730931759999999597e-01 5.216160239999999781e+00 1.653403839999999930e-02
3.111901959999999884e-02 1.653403839999999930e-02 3.056106639999999885e-03
# New slice
3.382723260000000121e+00 3.177138789999999768e-01 1.656623569999999971e-03
3.177138789999999768e-01 4.423391439999999619e+00 7.198612539999999643e-03
1.656623569999999971e-03 7.198612539999999643e-03 5.624816370000000404e-04
# New slice
3.187655429999999956e+00 -8.789841840000000017e-01 -2.508238900000000181e-03
-8.789841840000000017e-01 4.345272790000000107e+00 5.386988680000000425e-03
-2.508238900000000181e-03 5.386988680000000425e-03 5.713850780000000055e-04
# New slice
2.184599309999999892e-02 5.933106199999999691e-03 -6.293623040000000416e-04
5.933106199999999691e-03 1.949601680000000170e-02 1.230350510000000031e-04
-6.293623040000000416e-04 1.230350510000000031e-04 8.675013160000000527e-04
# New slice
