# Shape: (11, 3, 3)
2.29486663e-02 6.67529285e-03 -4.22101818e-04
6.67529285e-03 1.64288683e-02 3.00857389e-04
-4.22101818e-04 3.00857389e-04 7.76807598e-04
# New slice
1.46086796e+01 1.39495291e+00 4.91012045e-03
1.39495291e+00 1.38824845e+01 -1.08438793e-01
4.91012045e-03 -1.08438793e-01 2.14653230e-02
# New slice
2.66594974e+00 7.96928110e-01 1.60598795e-03
7.96928110e-01 2.41357938e+00 1.16173285e-02
1.60598795e-03 1.16173285e-02 9.23546535e-04
# New slice
2.93172542e+00 2.04154322e-01 3.55611352e-03
2.04154322e-01 3.16295619e+00 3.29352771e-03
3.55611352e-03 3.29352771e-03 7.55052178e-04
# New slice
9.35940971e+00 -2.31847713e-01 2.72879552e-02
-2.31847713e-01 7.32661677e+00 1.28259948e-02
2.72879552e-02 1.28259948e-02 3.28843291e-03
# New slice
2.35400270e+00 -4.71983706e-01 -1.83199231e-03
-4.71983706e-01 3.94728676e+00 5.95612935e-03
-1.83199231e-03 5.95612935e-03 5.27539613e-04
# New slice
1.89783906e+00 1.81460844e-01 4.76512368e-04
1.81460844e-01 2.18645995e+00 -5.96427172e-03
4.76512368e-04 -5.96427172e-03 3.31131459e-03
# New slice
5.24540800e+00 1.81875511e+00 4.54242273e-03
1.81875511e+00 4.11264805e+00 1.00240752e-03
4.54242273e-03 1.00240752e-03 6.89470797e-04
# New slice
2.48909458e+00 9.54293646e-02 2.68971987e-03
9.54293646e-02 1.96103112e+00 3.45608428e-03
2.68971987e-03 3.45608428e-03 7.11673575e-04
# New slice
1.75028266e+00 1.14927642e+00 3.02663458e-02
1.14927642e+00 3.67083084e+00 5.47173763e-02
3.02663458e-02 5.47173763e-02 6.25916557e-03
# New slice
4.81839210e+00 5.55475477e-01 5.35270041e-03
5.55475477e-01 3.02092682e+00 2.50564520e-03
5.35270041e-03 2.50564520e-03 5.05524560e-04
# New slice
