# Shape: (9, 3, 3)
1.20257797e+01 7.61697808e-01 4.82809662e-02
7.61697808e-01 1.09358860e+01 4.90283429e-02
4.82809662e-02 4.90283429e-02 3.77985416e-03
# New slice
2.23779567e+00 4.32775492e-01 6.61362151e-04
4.32775492e-01 3.81196725e+00 8.75720114e-03
6.61362151e-04 8.75720114e-03 1.07257893e-03
# New slice
2.96015266e+00 4.45647138e-01 5.66401470e-02
4.45647138e-01 2.98580343e+00 2.77295151e-04
5.66401470e-02 2.77295151e-04 5.31535763e-03
# New slice
2.00390737e+00 1.04847111e+00 -3.12331786e-03
1.04847111e+00 3.26485840e+00 5.57760270e-03
-3.12331786e-03 5.57760270e-03 1.97258164e-03
# New slice
2.24788885e+01 2.66312570e+00 -2.05223921e-02
2.66312570e+00 2.49929851e+01 -7.60183767e-02
-2.05223921e-02 -7.60183767e-02 2.08859009e-03
# New slice
6.99237709e+00 7.91357773e-01 -1.17867465e-02
7.91357773e-01 5.90163845e+00 -8.86074173e-03
-1.17867465e-02 -8.86074173e-03 1.79010833e-02
# New slice
3.30912351e+00 9.86869644e-01 8.79251905e-03
9.86869644e-01 5.28091634e+00 1.15598060e-02
8.79251905e-03 1.15598060e-02 6.44229378e-04
# New slice
3.40328908e+00 1.21516502e+00 -1.51979244e-04
1.21516502e+00 4.59152183e+00 7.71640671e-03
-1.51979244e-04 7.71640671e-03 5.24871838e-04
# New slice
2.23558218e-02 6.46754299e-03 -4.67619402e-04
6.46754299e-03 1.59496338e-02 2.60395112e-04
-4.67619402e-04 2.60395112e-04 8.54930759e-04
# New slice
